@RELATION 'derisi0.names'

@ATTRIBUTE g1                                      numeric
@ATTRIBUTE g1_bkg                                  numeric
@ATTRIBUTE r1                                      numeric
@ATTRIBUTE r1_bkg                                  numeric
@ATTRIBUTE f1                                      numeric
@ATTRIBUTE g2                                      numeric
@ATTRIBUTE g2_bkg                                  numeric
@ATTRIBUTE r2                                      numeric
@ATTRIBUTE r2_bkg                                  numeric
@ATTRIBUTE f2                                      numeric
@ATTRIBUTE g3                                      numeric
@ATTRIBUTE g3_bkg                                  numeric
@ATTRIBUTE r3                                      numeric
@ATTRIBUTE r3_bkg                                  numeric
@ATTRIBUTE f3                                      numeric
@ATTRIBUTE g4                                      numeric
@ATTRIBUTE g4_bkg                                  numeric
@ATTRIBUTE r4                                      numeric
@ATTRIBUTE r4_bkg                                  numeric
@ATTRIBUTE f4                                      numeric
@ATTRIBUTE g5                                      numeric
@ATTRIBUTE g5_bkg                                  numeric
@ATTRIBUTE r5                                      numeric
@ATTRIBUTE r5_bkg                                  numeric
@ATTRIBUTE f5                                      numeric
@ATTRIBUTE g6                                      numeric
@ATTRIBUTE g6_bkg                                  numeric
@ATTRIBUTE r6                                      numeric
@ATTRIBUTE r6_bkg                                  numeric
@ATTRIBUTE f6                                      numeric
@ATTRIBUTE g7                                      numeric
@ATTRIBUTE g7_bkg                                  numeric
@ATTRIBUTE r7                                      numeric
@ATTRIBUTE r7_bkg                                  numeric
@ATTRIBUTE f7                                      numeric
@ATTRIBUTE g1_ratio                                numeric
@ATTRIBUTE g2_ratio                                numeric
@ATTRIBUTE g3_ratio                                numeric
@ATTRIBUTE g4_ratio                                numeric
@ATTRIBUTE g5_ratio                                numeric
@ATTRIBUTE g6_ratio                                numeric
@ATTRIBUTE g7_ratio                                numeric
@ATTRIBUTE r1_ratio                                numeric
@ATTRIBUTE r2_ratio                                numeric
@ATTRIBUTE r3_ratio                                numeric
@ATTRIBUTE r4_ratio                                numeric
@ATTRIBUTE r5_ratio                                numeric
@ATTRIBUTE r6_ratio                                numeric
@ATTRIBUTE r7_ratio                                numeric
@ATTRIBUTE g1dashbkg                               numeric
@ATTRIBUTE g2dashbkg                               numeric
@ATTRIBUTE g3dashbkg                               numeric
@ATTRIBUTE g4dashbkg                               numeric
@ATTRIBUTE g5dashbkg                               numeric
@ATTRIBUTE g6dashbkg                               numeric
@ATTRIBUTE g7dashbkg                               numeric
@ATTRIBUTE r1dashbkg                               numeric
@ATTRIBUTE r2dashbkg                               numeric
@ATTRIBUTE r3dashbkg                               numeric
@ATTRIBUTE r4dashbkg                               numeric
@ATTRIBUTE r5dashbkg                               numeric
@ATTRIBUTE r6dashbkg                               numeric
@ATTRIBUTE r7dashbkg                               numeric
@ATTRIBUTE class                                   hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/13,01/02,01/02/02,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/02,01/05/03/02/04,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/05,01/20/27,01/20/31,01/20/33,01/20/37,01/20/37/01,01/25,01/25/01,02,02/01,02/01/01,02/01/03,02/04,02/07,02/07/01,02/08,02/10,02/11,02/11/05,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/02,16,16/01,16/02,16/03,16/03/01,16/03/03,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/17,16/17/01,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/09,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/25,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/02,20/09/16,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/09,20/09/18/09/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/03,30/01/05/05,30/01/05/05/01,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/10,30/05/02,30/05/02/24,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/10,32/10/03,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/07,34/07/01,34/07/02,34/11,34/11/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,38,38/07,40,40/01,40/01/03,40/01/03/01,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/03,40/10/02/03/02,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/09,99

@DATA
5027,2667,3372,1245,0,4927,2545,4821,1437,0,4128,1720,3908,1349,0,4135,1473,3592,987,0,3495,1785,2370,1060,0,5760,2396,5722,1471,0,7340,2594,8666,2699,3,1.11,0.7,0.94,1.02,1.31,0.79,0.8,0.9,1.43,1.06,0.98,0.76,1.27,1.25,2360,2382,2408,2662,1710,3364,4746,2127,3384,2559,2605,1310,4251,5967,01/04@14/07/11@14/13/01/01@16/19/03
5632,2153,5083,1199,0,6571,2567,6825,1573,0,4614,1476,4993,1110,0,4307,1287,2915,877,0,4442,1556,3018,1236,0,4192,2129,2429,1363,0,3924,986,1858,707,0,0.9,0.76,0.81,1.48,1.62,1.94,2.55,1.11,1.32,1.23,0.68,0.62,0.52,0.39,3479,4004,3138,3020,2886,2063,2938,3884,5252,3883,2038,1782,1066,1151,11/04/02@20/01/10@20/01/21@20/09/01
4860,2175,4050,1225,0,5317,2474,4885,1512,0,3584,1498,3985,1089,0,2955,1211,2367,773,0,3864,1671,3280,1292,0,3768,2386,3306,1548,0,2741,955,2304,693,0,0.95,0.84,0.72,1.09,1.1,0.79,1.11,1.05,1.19,1.39,0.92,0.91,1.27,0.9,2685,2843,2086,1744,2193,1382,1786,2825,3373,2896,1594,1988,1758,1611,11/02/03/01@11/02/03/04@18/02/09
5415,2644,3893,1290,0,4249,2494,3095,1407,0,3858,1611,3727,1252,0,4089,1405,3093,875,0,3740,1667,2512,1062,0,4825,2431,3303,1449,0,3635,1260,2310,900,0,1.06,1.04,0.91,1.21,1.43,1.29,1.68,0.94,0.96,1.1,0.83,0.7,0.78,0.6,2771,1755,2247,2684,2073,2394,2375,2603,1688,2475,2218,1450,1854,1410,01/03/01@01/03/04/01@01/03/04/03
2992,2176,1904,1193,0,4027,3017,3235,2523,0,2341,1671,1878,1225,0,1620,1178,1162,848,0,2448,1503,1839,1175,0,3211,2305,3072,1839,0,1403,848,1363,639,0,1.15,1.42,1.03,1.41,1.42,0.73,0.77,0.87,0.7,0.97,0.71,0.7,1.37,1.3,816,1010,670,442,945,906,555,711,712,653,314,664,1233,724,12/01/01@42/16
3977,2602,2391,1323,0,4689,3236,3784,2536,0,3819,2123,3377,1716,0,3327,1614,2507,1220,0,3761,1751,3322,965,0,3690,2684,3325,2075,0,2069,1200,1405,840,0,1.29,1.16,1.02,1.33,0.85,0.8,1.54,0.78,0.86,0.98,0.75,1.18,1.25,0.65,1375,1453,1696,1713,2010,1006,869,1068,1248,1661,1287,2357,1250,565,01/03/01/03@01/05/13/03
6214,2642,4891,1362,0,4769,2746,3179,1622,0,3632,1852,2830,1407,0,7201,3376,6210,3052,0,4261,1710,2628,1124,0,5486,2520,3146,1600,0,3336,1236,1886,776,0,1.01,1.3,1.25,1.21,1.7,1.92,1.89,0.99,0.77,0.8,0.83,0.59,0.52,0.53,3572,2023,1780,3825,2551,2966,2100,3529,1557,1423,3158,1504,1546,1110,01/05/03@01/05/25@02/19@42/01@43/01/03/05
4871,2172,3775,1227,0,5867,2478,4373,1432,0,3224,1426,2680,1072,0,3241,1191,2679,802,0,3476,1678,3181,1386,0,4596,2261,4628,1508,0,3178,974,2997,677,0,1.06,1.15,1.12,1.09,1,0.75,0.95,0.94,0.87,0.89,0.92,1,1.33,1.05,2699,3389,1798,2050,1798,2335,2204,2548,2941,1608,1877,1795,3120,2320,01/01/09@11/02/03/01@11/02/03/04
3240,2083,2211,1148,0,3591,2320,2700,1367,0,2111,1358,1906,981,0,1930,1150,1512,767,0,2602,1596,2188,1173,0,2899,2199,2858,1500,0,1802,941,2113,679,0,1.09,0.95,0.81,1.05,0.99,0.52,0.6,0.92,1.05,1.23,0.95,1.01,1.92,1.67,1157,1271,753,780,1006,700,861,1063,1333,925,745,1015,1358,1434,11/02/03/01@11/02/03/04@32/05/01/03/03@32/07
5050,2576,3501,1313,0,3938,2644,2672,1572,0,3170,1824,2733,1358,0,8200,1528,8479,953,0,3463,1660,2786,1087,0,4314,2599,4044,1621,0,2630,1254,1970,832,0,1.13,1.18,0.98,0.89,1.06,0.71,1.21,0.88,0.85,1.02,1.12,0.94,1.41,0.83,2474,1294,1346,6672,1803,1715,1376,2188,1100,1375,7526,1699,2423,1138,10/03/05/03@20/09/14@42/04/03@42/04/05
3689,1947,2917,1058,0,4309,2798,3595,2053,0,3735,1530,3370,1184,0,2449,1106,2182,804,0,2846,1380,2239,1118,0,3464,2178,4181,1762,0,2394,822,2802,629,0,0.94,0.98,1.01,0.97,1.31,0.53,0.72,1.06,1.02,0.99,1.03,0.76,1.89,1.39,1742,1511,2205,1343,1466,1286,1572,1859,1542,2186,1378,1121,2419,2173,14/07/09
3810,1930,2771,1081,0,5870,2306,4887,1390,0,3093,1285,2500,937,0,2981,1157,2320,806,0,3050,1382,2287,1039,0,5455,2404,4216,1612,0,2567,868,2028,652,0,1.11,1.02,1.16,1.2,1.34,1.17,1.23,0.9,0.98,0.86,0.83,0.75,0.85,0.81,1880,3564,1808,1824,1668,3051,1699,1690,3497,1563,1514,1248,2604,1376,01/05/25@11/02/03/01@11/02/03/04
5381,2776,3790,1480,0,4603,2684,3188,1584,0,3251,1759,2840,1296,0,3482,1385,2734,867,0,3704,1804,2645,1058,0,4616,2744,3860,1716,0,2617,1147,1801,796,0,1.13,1.2,0.97,1.12,1.2,0.87,1.46,0.88,0.83,1.03,0.89,0.83,1.15,0.68,2605,1919,1492,2097,1900,1872,1470,2310,1604,1544,1867,1587,2144,1005,01/06
4889,2601,3090,1392,0,4255,2695,2658,1598,0,3377,1656,2451,1170,0,3617,1333,2310,842,0,3200,1633,1830,1017,0,4346,2621,2714,1622,0,3239,1104,1284,722,0,1.35,1.47,1.34,1.56,1.93,1.58,3.8,0.74,0.68,0.75,0.64,0.52,0.63,0.26,2288,1560,1721,2284,1567,1725,2135,1698,1060,1281,1468,813,1092,562,42/01
13676,2000,13192,1046,0,16096,2395,13542,1366,0,8306,1371,6862,986,0,10380,1147,7315,793,0,9985,1314,8128,1109,0,13761,2417,4866,1597,0,11372,905,3185,667,0,0.96,1.13,1.18,1.42,1.24,3.47,4.16,1.04,0.88,0.85,0.7,0.81,0.29,0.24,11676,13701,6935,9233,8671,11344,10467,12146,12176,5876,6522,7019,3269,2518,12/01/01
14100,2552,17025,1341,0,9337,3353,9091,2663,0,17742,2278,18549,1773,0,19773,1973,15504,1536,0,8610,1791,7680,1267,0,9432,2089,4553,1630,0,15658,1219,4443,767,0,0.74,0.93,0.92,1.27,1.06,2.51,3.93,1.35,1.08,1.09,0.79,0.94,0.4,0.25,11548,5984,15464,17800,6819,7343,14439,15684,6428,16776,13968,6413,2923,3676,12/01/01
3475,1933,2744,991,0,4022,2724,3321,2098,0,3326,1495,3665,1112,0,2190,1094,2167,782,0,2837,1403,2275,1048,0,3331,2212,3001,1802,0,1935,804,1597,612,0,0.88,1.06,0.72,0.79,1.17,0.93,1.15,1.14,0.94,1.39,1.27,0.85,1.08,0.87,1542,1298,1831,1096,1434,1119,1131,1753,1223,2553,1385,1227,1199,985,10/03/02@11/02/03/01@11/02/03/04
6131,2410,5337,1291,0,5415,3080,4623,2448,0,7555,2072,8503,1621,0,6978,1716,7124,1327,0,3839,1591,3866,1073,0,4759,2327,6466,1877,0,5342,1122,4955,886,0,0.92,1.07,0.8,0.91,0.8,0.53,1.04,1.09,0.93,1.25,1.1,1.25,1.89,0.96,3721,2335,5483,5262,2248,2432,4220,4046,2175,6882,5797,2793,4589,4069,01/04
4755,1985,4417,1034,0,5606,2955,5228,2347,0,3289,1433,3481,1144,0,3444,1061,3597,750,0,3335,1327,3051,1086,0,4673,2274,9344,1860,0,3231,821,4438,644,0,0.82,0.92,0.79,0.84,1.02,0.32,0.64,1.22,1.09,1.27,1.19,0.98,3.13,1.56,2770,2651,1856,2383,2008,2399,2410,3383,2881,2337,2847,1965,7484,3794,01/20/37/01@32/01/01@32/07/07
4722,2440,3675,1250,0,4657,2966,4094,2429,0,7801,2113,10365,1716,0,7573,2398,7336,2214,0,2731,1616,2077,1080,0,4119,2329,4477,1865,0,4304,1002,5681,796,0,0.94,1.02,0.66,1.01,1.12,0.69,0.68,1.06,0.98,1.52,0.99,0.89,1.45,1.47,2282,1691,5688,5175,1115,1790,3302,2425,1665,8649,5122,997,2612,4885,20/01/01/01@20/09/07@20/09/13@32/01@34/01/01/03
10531,2011,9825,1036,0,11230,2916,10847,2285,0,8167,1470,8347,1096,0,6339,1012,5696,718,0,8791,1527,7334,1175,0,10783,2221,10095,1828,0,6453,840,6837,671,0,0.97,0.97,0.92,1.07,1.18,1.04,0.91,1.03,1.03,1.09,0.93,0.85,0.96,1.1,8520,8314,6697,5327,7264,8562,5613,8789,8562,7251,4978,6159,8267,6166,10/03/01/01/11@10/03/04/07@14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/01@42/10
3231,2409,1782,1208,0,4173,3167,3290,2434,0,3728,2028,3269,1595,0,2836,1504,2017,1122,0,2268,1512,1390,929,0,3192,2347,3281,1873,0,2175,1104,1856,789,0,1.43,1.18,1.02,1.49,1.64,0.6,1,0.7,0.85,0.98,0.67,0.61,1.67,1,822,1006,1700,1332,756,845,1071,574,856,1674,895,461,1408,1067,10/01/05/01@11/02/03/01/01@11/02/03/04@14/10
4156,2484,2810,1283,0,4163,2716,3018,1595,0,2975,1630,2800,1176,0,2986,1413,2356,922,0,2800,1682,2145,1143,0,4056,2695,4090,1768,0,2508,1189,1975,784,0,1.09,1.02,0.83,1.1,1.12,0.59,1.11,0.92,0.98,1.2,0.91,0.89,1.69,0.9,1672,1447,1345,1573,1118,1361,1319,1527,1423,1624,1434,1002,2322,1191,14/04@20/09/07/27@20/09/13@20/09/18@42/07@42/25
4576,2427,3288,1232,0,4752,2659,3876,1581,0,3956,1599,3481,1138,0,3560,1372,2610,884,0,3001,1540,2105,995,0,4642,2505,3693,1707,0,3095,1202,1895,778,0,1.05,0.91,1.01,1.27,1.32,1.08,1.69,0.95,1.1,0.99,0.79,0.76,0.93,0.59,2149,2093,2357,2188,1461,2137,1893,2056,2295,2343,1726,1110,1986,1117,20/09/07/03
3994,2440,2748,1250,0,4694,3212,3963,2520,0,3987,2135,4120,1704,0,3628,1538,3027,1094,0,2488,1607,1723,1038,0,3591,2462,3418,1960,0,2741,1106,2256,788,0,1.04,1.03,0.77,1.08,1.29,0.77,1.11,0.96,0.97,1.3,0.93,0.78,1.3,0.9,1554,1482,1852,2090,881,1129,1635,1498,1443,2416,1933,685,1458,1468,11/04/01
6043,2434,5466,1255,0,4817,3150,4189,2458,0,6106,1834,6289,1450,0,5664,1548,4985,1148,0,3118,1449,2450,1043,0,4432,2385,4130,1938,0,4760,1094,3608,852,0,0.86,0.96,0.88,1.07,1.19,0.93,1.33,1.16,1.04,1.14,0.93,0.84,1.08,0.75,3609,1667,4272,4116,1669,2047,3666,4211,1731,4839,3837,1407,2192,2756,10/03/05/03@16/01@20/09/07@42/04/03
3703,2288,2384,1181,0,4371,3028,3685,2569,0,4588,2095,4646,1649,0,3225,1521,2458,1098,0,2258,1462,1580,992,0,3450,2410,3567,1970,0,2546,1064,2099,776,0,1.18,1.2,0.83,1.25,1.35,0.65,1.12,0.85,0.83,1.2,0.8,0.74,1.54,0.89,1415,1343,2493,1704,796,1040,1482,1203,1116,2997,1360,588,1597,1323,14/04@20/09/07/27
10423,2376,10453,1249,0,6440,3198,5936,2560,0,11131,2076,13381,1676,0,10584,1624,8759,1210,0,4674,1573,3669,1105,0,8353,2533,4539,2021,0,8904,1088,2899,732,0,0.87,0.96,0.77,1.19,1.21,2.31,3.61,1.15,1.04,1.3,0.84,0.83,0.43,0.28,8047,3242,9055,8960,3101,5820,7816,9204,3376,11705,7549,2564,2518,2167,12/01/01
5322,2179,4766,1227,0,5603,3224,4925,2423,0,5494,1850,5159,1462,0,3544,1330,2901,978,0,3053,1539,2299,1010,0,4304,2346,3405,1858,0,3507,949,3021,749,0,0.89,0.95,0.99,1.15,1.17,1.27,1.13,1.12,1.05,1.01,0.87,0.85,0.79,0.88,3143,2379,3644,2214,1514,1958,2558,3539,2502,3697,1923,1289,1547,2272,01/04@10/03/01/03@10/03/03@14/07/03@42/29@43/01/03/05
8048,2442,7900,1293,0,5993,2770,5188,1723,0,6731,1629,5669,1193,0,5934,1330,5424,864,0,5567,1707,5765,1286,0,6096,2517,6661,1725,0,5401,1173,3811,837,0,0.85,0.93,1.14,1.01,0.86,0.73,1.42,1.18,1.08,0.88,0.99,1.16,1.37,0.7,5606,3223,5102,4604,3860,3579,4228,6607,3465,4476,4560,4479,4936,2974,14/07/07@16/01
2703,1753,1717,916,0,3123,1981,2183,1067,0,1600,1068,1274,758,0,1589,1006,1186,709,0,2909,1299,2690,1255,0,3674,2004,3801,1464,0,1531,809,1702,646,0,1.19,1.02,1.03,1.22,1.12,0.71,0.68,0.84,0.98,0.97,0.82,0.89,1.41,1.47,950,1142,532,583,1610,1670,722,801,1116,516,477,1435,2337,1056,12/07@16/03/03@34/01/01/01
5249,2714,3511,1253,0,3459,2102,2552,1101,0,3057,1347,2895,979,0,4008,1186,2942,759,0,3941,1871,2944,973,0,6345,2180,5477,1230,0,2336,910,1850,613,0,1.12,0.94,0.89,1.29,1.05,0.98,1.15,0.89,1.06,1.12,0.78,0.95,1.02,0.87,2535,1357,1710,2822,2070,4165,1426,2258,1451,1916,2183,1971,4247,1237,14/01
5332,2211,4670,1153,0,6077,3216,5543,2634,0,6006,1745,6900,1342,0,3338,1274,4678,950,0,3090,1321,4135,1009,0,4158,2300,10421,1980,0,3229,877,14476,703,0,0.89,0.98,0.77,0.55,0.57,0.22,0.17,1.12,1.02,1.3,1.82,1.75,4.55,5.88,3121,2861,4261,2064,1769,1858,2352,3517,2909,5558,3728,3126,8441,13773,02/11@02/13/03@14/10
4748,2700,3238,1315,0,4556,2757,4057,2194,0,3669,1753,3534,1365,0,4712,1677,4198,1238,0,4468,1877,3125,1089,0,4508,2446,5262,1841,0,2850,1090,3042,744,0,1.07,0.97,0.88,1.03,1.27,0.6,0.77,0.93,1.03,1.14,0.97,0.79,1.67,1.3,2048,1799,1916,3035,2591,2062,1760,1923,1863,2169,2960,2036,3421,2298,01/03/01/01@01/03/04@01/03/10@01/04
4022,2771,2147,1297,0,3056,2199,1732,1213,0,1991,1356,1612,1000,0,2321,1216,1390,801,0,2812,1777,1655,1044,0,4022,2103,3546,1223,0,1852,896,5299,719,0,1.47,1.65,1.04,1.88,1.69,0.83,0.21,0.68,0.61,0.96,0.53,0.59,1.2,4.76,1251,857,635,1105,1035,1919,956,850,519,612,589,611,2323,4580,20/01/03@20/03
5610,2248,5296,1230,0,5235,3149,5439,2422,0,10159,1879,18885,1602,0,4577,1254,4679,928,0,2803,1487,2251,1118,0,4158,2206,3905,1690,0,4819,891,4192,698,0,0.83,0.69,0.48,0.89,1.16,0.88,1.12,1.2,1.45,2.08,1.12,0.86,1.14,0.89,3362,2086,8280,3323,1316,1952,3928,4066,3017,17283,3751,1133,2215,3494,01/05/03/02/04@10/03@14/07/02/02
11776,2799,11238,1384,0,8299,3132,8797,2380,0,13458,2223,18185,1800,0,18680,1938,16378,1660,0,10890,1924,8828,1151,0,10932,2590,8025,1969,0,8569,1240,9677,1022,0,0.91,0.81,0.69,1.14,1.17,1.38,0.85,1.1,1.23,1.45,0.88,0.85,0.72,1.18,8977,5167,11235,16742,8966,8342,7329,9854,6417,16385,14718,7677,6056,8655,01/01/13@11/02/03/04/01@16/03/01
3110,2175,2008,1125,0,4197,3099,3432,2541,0,2538,1628,2247,1293,0,1840,1214,1523,862,0,2393,1558,1864,1213,0,3233,2274,4269,1878,0,1666,841,4909,685,0,1.06,1.23,0.95,0.95,1.28,0.4,0.2,0.94,0.81,1.05,1.05,0.78,2.5,5,935,1098,910,626,835,959,825,883,891,954,661,651,2391,4224,02/01/03@14/07/05@14/10@14/13/01/01@16/01
5388,2651,4199,1227,0,4345,2435,3903,1407,0,3908,1497,4624,1185,0,4120,1450,4402,900,0,4167,1693,3467,1022,0,5816,2439,5004,1432,0,4166,1460,4085,1300,3,0.92,0.77,0.7,0.76,1.01,0.95,0.97,1.09,1.3,1.43,1.32,0.99,1.05,1.03,2737,1910,2411,2670,2474,3377,2706,2972,2496,3439,3502,2445,3572,2785,14/04@14/13/04@16/01@20/09/13@42/25
2919,2139,1845,1160,0,3397,2332,2266,1312,0,1901,1274,1545,923,0,1812,1166,1299,813,0,2531,1700,1899,1306,0,2936,2284,2362,1543,0,1636,942,1414,671,0,1.14,1.12,1.01,1.33,1.4,0.8,0.93,0.88,0.89,0.99,0.75,0.71,1.25,1.08,780,1065,627,646,831,652,694,685,954,622,486,593,819,743,10/01/05/01
3962,2543,2263,1212,0,3804,2366,2576,1357,0,2794,1472,2566,1098,0,2875,1419,2047,843,0,2925,1621,1939,1078,0,4725,2310,4995,1463,0,2798,1378,3019,1252,0,1.35,1.18,0.9,1.21,1.51,0.68,0.8,0.74,0.85,1.11,0.83,0.66,1.47,1.25,1419,1438,1322,1456,1304,2415,1420,1051,1219,1468,1204,861,3532,1767,01/05@02/45
4415,2176,3460,1190,0,5209,2491,4347,1428,0,3165,1351,3517,1016,0,3149,1093,2958,800,0,3428,1672,4088,1328,0,3214,2040,3687,1313,0,2820,897,3153,675,0,0.99,0.93,0.73,0.95,0.64,0.49,0.78,1.01,1.08,1.37,1.05,1.56,2.04,1.28,2239,2718,1814,2056,1756,1174,1923,2270,2919,2501,2158,2760,2374,2478,01/03/04/03
4957,2593,3839,1326,0,5292,3183,4979,2436,0,5110,2189,6086,1793,0,5454,1836,8176,1515,0,4076,1820,5447,1116,0,4233,2553,8547,2068,0,3125,1252,10479,986,0,0.94,0.83,0.68,0.54,0.52,0.26,0.2,1.06,1.2,1.47,1.85,1.92,3.85,5,2364,2109,2921,3618,2256,1680,1873,2513,2543,4293,6661,4331,6479,9493,02/11@02/13/03
